gizmotronics	gizmotronics+N;SG
fewterlocks	fewterlock+N;PL
spave	spave+V;NFIN;IMP+SBJV
preliterates	preliterate+N;PL
slugline	slugline+N;SG
chlorphenoxamine	chlorphenoxamine+N;SG
platyclades	platyclade+N;PL
marxology	marxology+N;SG
paperclipping	paperclip+V;V.PTCP;PRS
psychopedagogy	psychopedagogy+N;SG
lecythidaceous	lecythidaceous+ADJ
symptomatized	symptomatize+V;PST
scrams	scram+V;PRS;3;SG
semipermeability	semipermeability+N;SG
groundtruths	groundtruth+V;PRS;3;SG
sesquioxidation	sesquioxidation+N;SG
ministerlike	ministerlike+ADJ
affixive	affixive+ADJ
hierarchizing	hierarchize+V;V.PTCP;PRS
voled	vole+V;PST
top-heavy	top-heavy+ADJ
robotess	robotess+N;SG
refuse	refuse+N;SG
untilled	untilled+ADJ
fannells	fannell+N;PL
biopharming	biopharming+N;SG
plurisubharmonic	plurisubharmonic+ADJ
nanospectrophotometers	nanospectrophotometer+N;PL
incrassation	incrassation+N;SG
bierstubes	bierstube+N;PL
sidewall	sidewall+N;SG
postosmicate	postosmicate+V;NFIN;IMP+SBJV
playlots	playlot+N;PL
snottite	snottite+N;SG
purpre	purpre+ADJ
isofucosterol	isofucosterol+N;SG
forebelieves	forebelieve+V;PRS;3;SG
chronological	chronological+ADJ
bisweptual	bisweptual+N;SG
hotbar	hotbar+N;SG
spaying	spay+V;V.PTCP;PRS
endogenesis	endogenesis+N;SG
organomolybdenum	organomolybdenum+ADJ
rehammer	rehammer+V;NFIN;IMP+SBJV
clusters	cluster+N;PL
cholangiohepatoma	cholangiohepatoma+N;SG
semiperipheral	semiperipheral+ADJ
split	split+N;SG
subtransverse	subtransverse+ADJ
subsciences	subscience+N;PL
parryings	parrying+N;PL
obolize	obolize+V;NFIN;IMP+SBJV
gibing	gibe+V;V.PTCP;PRS
ula	ula+N;SG
subcommunity	subcommunity+N;SG
frocked	frocked+ADJ
lactonazis	lactonazi+N;PL
six	six+N;SG
voicetracking	voicetrack+V;V.PTCP;PRS
orchal	orchal+N;SG
reiters	reiter+N;PL
composer	composer+N;SG
hypotriglyceridemia	hypotriglyceridemia+N;SG
nkrumaism	nkrumaism+N;SG
pramanas	pramana+N;PL
biolaboratory	biolaboratory+N;SG
chafflike	chafflike+ADJ
diboride	diboride+N;SG
cucumbery	cucumbery+ADJ
avenue	avenue+N;SG
uprisers	upriser+N;PL
megathermic	megathermic+ADJ
micrometeorologists	micrometeorologist+N;PL
zap	zap+V;NFIN;IMP+SBJV
newsmaking	newsmaking+ADJ
acral	acral+ADJ
selenofurans	selenofuran+N;PL
clothiers	clothier+N;PL
outlawyer	outlawyer+V;NFIN;IMP+SBJV
rereferral	rereferral+N;SG
matchlight	matchlight+N;SG
kiddles	kiddle+N;PL
disbuds	disbud+V;PRS;3;SG
townsman	townsman+N;SG
cophosis	cophosis+N;SG
danbuoy	danbuoy+N;SG
nominant	nominant+N;SG
semisphere	semisphere+N;SG
hydrobromate	hydrobromate+N;SG
purificators	purificator+N;PL
cab	cab+V;NFIN;IMP+SBJV
nonracialism	nonracialism+N;SG
countersorcerer	countersorcerer+N;SG
lezzes	lezz+N;PL
remethylated	remethylated+ADJ
synapheia	synapheia+N;SG
pyridoimidazole	pyridoimidazole+N;SG
injectees	injectee+N;PL
dictated	dictate+V;V.PTCP;PST
denormalising	denormalise+V;V.PTCP;PRS
psycholinguistic	psycholinguistic+ADJ
dispeeded	dispeed+V;V.PTCP;PST
deamidated	deamidate+V;PST
mexifornication	mexifornication+N;SG
dialectologists	dialectologist+N;PL
hersum	hersum+ADJ
quasiclassic	quasiclassic+ADJ
firelit	firelit+ADJ
anisocoric	anisocoric+N;SG
biamping	biamping+N;SG
organographic	organographic+ADJ
smirk	smirk+V;NFIN;IMP+SBJV
gillnets	gillnet+V;PRS;3;SG
palpless	palpless+ADJ
tiffin	tiffin+V;NFIN;IMP+SBJV
phosphometabolomic	phosphometabolomic+ADJ
graphitizable	graphitizable+ADJ
echinoderm	echinoderm+N;SG
ultramicrochemical	ultramicrochemical+ADJ
defiatory	defiatory+ADJ
klavern	klavern+N;SG
